0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-45-86.ec2.internal/172.31.45.86:8032
1858 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1867 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1870 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2297 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2423 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488092363398_0001
2816 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488092363398_0001
2866 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-45-86.ec2.internal:20888/proxy/application_1488092363398_0001/
2867 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488092363398_0001
12019 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488092363398_0001 running in uber mode : false
12020 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
56290 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 1% reduce 0%
84409 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 2% reduce 0%
111536 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 3% reduce 0%
128604 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 4% reduce 0%
148689 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 5% reduce 0%
168762 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 6% reduce 0%
181812 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 7% reduce 0%
197869 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 8% reduce 0%
213923 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 9% reduce 0%
231979 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 10% reduce 0%
244017 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 11% reduce 0%
262069 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 12% reduce 0%
277114 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 13% reduce 0%
295170 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 14% reduce 0%
302195 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 15% reduce 0%
317239 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 16% reduce 0%
329274 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 17% reduce 0%
342309 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 18% reduce 0%
351331 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 19% reduce 0%
359358 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 20% reduce 0%
363368 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 21% reduce 0%
371390 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 21% reduce 1%
376402 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 22% reduce 1%
382421 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 23% reduce 1%
391445 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 24% reduce 1%
403484 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 25% reduce 1%
413513 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 26% reduce 1%
433567 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 27% reduce 1%
450609 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 28% reduce 1%
460632 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 29% reduce 1%
470658 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 29% reduce 2%
477675 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 30% reduce 2%
486700 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 31% reduce 2%
500734 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 32% reduce 2%
523790 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 33% reduce 2%
533824 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 34% reduce 2%
549869 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 35% reduce 2%
563911 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 36% reduce 2%
587965 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 37% reduce 2%
606020 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 38% reduce 2%
622053 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 39% reduce 2%
636084 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 40% reduce 2%
637086 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 40% reduce 3%
650114 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 41% reduce 3%
668156 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 42% reduce 3%
677174 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 43% reduce 3%
684195 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 44% reduce 3%
695221 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 45% reduce 3%
696224 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 45% reduce 5%
704247 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 46% reduce 5%
716274 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 47% reduce 5%
724294 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 48% reduce 5%
737319 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 49% reduce 5%
746337 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 50% reduce 5%
750348 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 51% reduce 5%
760369 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 52% reduce 5%
762375 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 5%
763378 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 6%
771396 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 8%
774406 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 54% reduce 8%
804466 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 55% reduce 8%
828513 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 56% reduce 8%
851563 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 57% reduce 8%
865598 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 58% reduce 8%
889648 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 8%
903693 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 60% reduce 8%
922733 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 61% reduce 9%
939770 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 62% reduce 9%
952803 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 63% reduce 9%
969837 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 9%
985867 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 9%
993884 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 66% reduce 9%
1013936 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 9%
1025962 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 10%
1031974 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 68% reduce 10%
1045013 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 10%
1062046 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 70% reduce 10%
1079083 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 71% reduce 10%
1092109 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 72% reduce 10%
1102138 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 73% reduce 10%
1119174 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 10%
1123182 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 11%
1124184 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 75% reduce 11%
1143230 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 76% reduce 11%
1151251 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 77% reduce 11%
1171298 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 78% reduce 11%
1186328 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 11%
1194344 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 11%
1204365 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 12%
1206369 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 12%
1226416 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 82% reduce 12%
1241445 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 83% reduce 12%
1260483 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 12%
1274512 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 85% reduce 12%
1298557 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 86% reduce 12%
1312583 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 87% reduce 12%
1321605 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 87% reduce 13%
1323609 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 88% reduce 13%
1348658 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 89% reduce 13%
1359683 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 90% reduce 13%
1378718 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 91% reduce 13%
1400770 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 13%
1413795 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 93% reduce 13%
1432830 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 94% reduce 13%
1444852 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 95% reduce 13%
1450868 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 14%
1456882 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 14%
1463894 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 18%
1466899 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 21%
1468903 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 25%
1484932 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 25%
1524997 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 25%
1536019 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 29%
1567085 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 29%
1578103 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 30%
1579105 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 33%
1580110 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 40%
1581112 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 54%
1582114 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 57%
1583116 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 60%
1584118 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 64%
1586122 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 69%
1587124 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 71%
1588126 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 73%
1589128 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 83%
1590136 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 87%
1591138 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 90%
1592142 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 93%
1593144 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 97%
1595148 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 100%
1595150 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488092363398_0001 completed successfully
1595259 [main] INFO org.apache.hadoop.mapreduce.Job  - Counters: 57
	File System Counters
		FILE: Number of bytes read=940490879
		FILE: Number of bytes written=2073427582
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=11448
		HDFS: Number of bytes written=1477620154
		HDFS: Number of read operations=239
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=18
		S3: Number of bytes read=7091237386
		S3: Number of bytes written=0
		S3: Number of read operations=0
		S3: Number of large read operations=0
		S3: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=106
		Launched reduce tasks=10
		Data-local map tasks=106
		Total time spent by all maps in occupied slots (ms)=909027552
		Total time spent by all reduces in occupied slots (ms)=440773824
		Total time spent by all map tasks (ms)=18938074
		Total time spent by all reduce tasks (ms)=4591394
		Total vcore-milliseconds taken by all map tasks=18938074
		Total vcore-milliseconds taken by all reduce tasks=4591394
		Total megabyte-milliseconds taken by all map tasks=29088881664
		Total megabyte-milliseconds taken by all reduce tasks=14104762368
	Map-Reduce Framework
		Map input records=7012253
		Map output records=69444416
		Map output bytes=3568043708
		Map output materialized bytes=1119480179
		Input split bytes=11448
		Combine input records=69444416
		Combine output records=19501036
		Reduce input groups=3178227
		Reduce shuffle bytes=1119480179
		Reduce input records=19501036
		Reduce output records=3178227
		Spilled Records=40361541
		Shuffled Maps =954
		Failed Shuffles=0
		Merged Map outputs=954
		GC time elapsed (ms)=108986
		CPU time spent (ms)=12354750
		Physical memory (bytes) snapshot=91507937280
		Virtual memory (bytes) snapshot=391935320064
		Total committed heap usage (bytes)=78768504832
	PageRank$counter
		TotalPages=3178227
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=7091237386
	File Output Format Counters 
		Bytes Written=1477620154
Preprocessing completed in 1600273 ms
Starting iteration 0 for pagerank calculation
1595321 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-45-86.ec2.internal/172.31.45.86:8032
1595582 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 9
1595653 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:18
1595696 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488092363398_0002
1595715 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488092363398_0002
1595719 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-45-86.ec2.internal:20888/proxy/application_1488092363398_0002/
1595719 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488092363398_0002
1603775 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488092363398_0002 running in uber mode : false
1603775 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
1617841 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 4% reduce 0%
1620858 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 6% reduce 0%
1622864 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 14% reduce 0%
1623868 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 16% reduce 0%
1624875 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 18% reduce 0%
1625878 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 27% reduce 0%
1626881 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 29% reduce 0%
1628886 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 39% reduce 0%
1629889 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 41% reduce 0%
1631897 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 47% reduce 0%
1632903 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 49% reduce 0%
1634910 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 52% reduce 0%
1637921 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 0%
1640933 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 55% reduce 0%
1643943 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 62% reduce 0%
1644947 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 0%
1645950 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 66% reduce 0%
1646957 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 68% reduce 0%
1650971 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 71% reduce 0%
1652976 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 0%
1654988 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 2%
1655991 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 4%
1659003 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 4%
1660009 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 82% reduce 6%
1663017 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 83% reduce 6%
1665023 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 6%
1668031 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 7%
1671038 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 87% reduce 7%
1672040 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 88% reduce 7%
1674045 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 89% reduce 7%
1675047 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 89% reduce 10%
1680059 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 90% reduce 10%
1681061 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 10%
1682063 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 12%
1684068 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 93% reduce 12%
1686073 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 12%
1687076 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 12%
1688078 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 13%
1689081 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 14%
1690083 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 16%
1691086 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 17%
