0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
490894 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 57% reduce 7%
503920 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 58% reduce 7%
509932 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 7%
510934 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 8%
527972 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 60% reduce 8%
529977 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 60% reduce 9%
535988 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 61% reduce 9%
549012 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 62% reduce 9%
566043 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 63% reduce 9%
579074 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 9%
593101 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 9%
601116 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 66% reduce 9%
611135 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 9%
619153 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 10%
621157 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 68% reduce 10%
631176 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 10%
640195 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 70% reduce 10%
644204 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 71% reduce 10%
657232 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 72% reduce 10%
668253 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 73% reduce 10%
676270 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 73% reduce 11%
679275 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 11%
693300 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 75% reduce 11%
700315 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 76% reduce 11%
707334 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 77% reduce 11%
719357 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 78% reduce 11%
732380 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 11%
733382 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 12%
741397 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 12%
746411 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 12%
762446 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 82% reduce 12%
